-0.255,-0.22,-0.185,-0.16,-0.15,-0.14,-0.11,-0.075,-0.05,-0.03,-0.03,-0.015,0.015,0.055,0.075,0.08,0.075,0.09,0.09,0.1,0
0.02,0.02,0.025,0.03,0.025,0.04,0.04,0.035,0.03,0.035,0.04,0.055,0.09,0.135,0.17,0.19,0.21,0.25,0.295,0.33,0
-0.11,-0.115,-0.115,-0.11,-0.12,-0.13,-0.105,-0.1,-0.1,-0.085,-0.105,-0.095,-0.075,-0.045,-0.045,-0.04,-0.05,-0.04,-0.01,-0.005,0
0.405,0.415,0.4,0.31,0.155,-0.03,-0.205,-0.32,-0.425,-0.48,-0.52,-0.52,-0.51,-0.43,-0.365,-0.325,-0.295,-0.27,-0.245,-0.19,0
0.4,0.31,0.155,-0.03,-0.205,-0.32,-0.425,-0.48,-0.52,-0.52,-0.51,-0.43,-0.365,-0.325,-0.295,-0.27,-0.245,-0.19,-0.16,-0.16,0
-0.085,-0.105,-0.095,-0.075,-0.045,-0.045,-0.04,-0.05,-0.04,-0.01,-0.005,0.0,0.01,0.015,0.015,0.035,0.055,0.06,0.08,0.08,0
-0.115,-0.11,-0.12,-0.13,-0.105,-0.1,-0.1,-0.085,-0.105,-0.095,-0.075,-0.045,-0.045,-0.04,-0.05,-0.04,-0.01,-0.005,0.0,0.01,0
-0.145,-0.125,-0.11,-0.115,-0.115,-0.11,-0.12,-0.13,-0.105,-0.1,-0.1,-0.085,-0.105,-0.095,-0.075,-0.045,-0.045,-0.04,-0.05,-0.04,0
0.015,0.055,0.075,0.08,0.075,0.09,0.09,0.1,0.095,0.11,0.095,0.105,0.115,0.14,0.135,0.125,0.13,0.125,0.13,0.145,0
0.17,0.19,0.21,0.25,0.295,0.33,0.315,0.33,0.33,0.365,0.405,0.415,0.4,0.31,0.155,-0.03,-0.205,-0.32,-0.425,-0.48,0
0.035,0.04,0.055,0.09,0.135,0.17,0.19,0.21,0.25,0.295,0.33,0.315,0.33,0.33,0.365,0.405,0.415,0.4,0.31,0.155,0
-0.17,-0.155,-0.145,-0.15,-0.145,-0.125,-0.11,-0.115,-0.115,-0.11,-0.12,-0.13,-0.105,-0.1,-0.1,-0.085,-0.105,-0.095,-0.075,-0.045,0
-0.045,-0.04,-0.05,-0.04,-0.01,-0.005,0.0,0.01,0.015,0.015,0.035,0.055,0.06,0.08,0.08,0.08,0.09,0.095,0.13,0.165,0
-0.11,-0.12,-0.13,-0.105,-0.1,-0.1,-0.085,-0.105,-0.095,-0.075,-0.045,-0.045,-0.04,-0.05,-0.04,-0.01,-0.005,0.0,0.01,0.015,0
0.135,0.17,0.19,0.21,0.25,0.295,0.33,0.315,0.33,0.33,0.365,0.405,0.415,0.4,0.31,0.155,-0.03,-0.205,-0.32,-0.425,0
-0.075,-0.05,-0.03,-0.03,-0.015,0.015,0.055,0.075,0.08,0.075,0.09,0.09,0.1,0.095,0.11,0.095,0.105,0.115,0.14,0.135,0
0.19,0.21,0.25,0.295,0.33,0.315,0.33,0.33,0.365,0.405,0.415,0.4,0.31,0.155,-0.03,-0.205,-0.32,-0.425,-0.48,-0.52,0
-0.13,-0.105,-0.1,-0.1,-0.085,-0.105,-0.095,-0.075,-0.045,-0.045,-0.04,-0.05,-0.04,-0.01,-0.005,0.0,0.01,0.015,0.015,0.035,0
0.3,0.295,0.31,0.305,0.27,0.275,0.235,0.21,0.21,0.21,0.21,0.2,0.17,0.145,0.14,0.145,0.13,0.12,0.115,0.1,0
0.405,0.375,0.36,0.35,0.36,0.345,0.315,0.3,0.295,0.31,0.305,0.27,0.275,0.235,0.21,0.21,0.21,0.21,0.2,0.17,0
0.31,0.305,0.27,0.275,0.235,0.21,0.21,0.21,0.21,0.2,0.17,0.145,0.14,0.145,0.13,0.12,0.115,0.1,0.095,0.095,0
0.36,0.345,0.315,0.3,0.295,0.31,0.305,0.27,0.275,0.235,0.21,0.21,0.21,0.21,0.2,0.17,0.145,0.14,0.145,0.13,0
0.435,0.435,0.415,0.405,0.375,0.36,0.35,0.36,0.345,0.315,0.3,0.295,0.31,0.305,0.27,0.275,0.235,0.21,0.21,0.21,0
0.155,-0.03,-0.205,-0.32,-0.425,-0.48,-0.52,-0.52,-0.51,-0.43,-0.365,-0.325,-0.295,-0.27,-0.245,-0.19,-0.16,-0.16,-0.17,-0.16,0
0.015,0.02,0.02,0.025,0.03,0.025,0.04,0.04,0.035,0.03,0.035,0.04,0.055,0.09,0.135,0.17,0.19,0.21,0.25,0.295,0
-0.105,-0.095,-0.075,-0.045,-0.045,-0.04,-0.05,-0.04,-0.01,-0.005,0.0,0.01,0.015,0.015,0.035,0.055,0.06,0.08,0.08,0.08,0
